7/8/2000 7:16 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.04333	
//WLCalib: 261S 	-0.46000	
//WLCalib: 362S 	-0.29000	
//WLCalib: 484S 	-0.24000	
//WLCalib: 529S 	-0.30000	
//WLCalib: 823S 	-0.76000	
//QSpecEnd: 
610.0	0.051
610.5	0.050
611.0	0.050
611.5	0.050
612.0	0.049
612.5	0.050
613.0	0.049
613.5	0.049
614.0	0.050
614.5	0.050
615.0	0.050
615.5	0.050
616.0	0.050
616.5	0.049
617.0	0.049
617.5	0.049
618.0	0.048
618.5	0.048
619.0	0.048
619.5	0.048
620.0	0.049
620.5	0.049
621.0	0.049
621.5	0.049
622.0	0.049
622.5	0.049
623.0	0.049
623.5	0.048
624.0	0.048
624.5	0.048
625.0	0.049
625.5	0.049
626.0	0.050
626.5	0.050
627.0	0.050
627.5	0.049
628.0	0.048
628.5	0.047
629.0	0.047
629.5	0.046
630.0	0.047
630.5	0.048
631.0	0.049
631.5	0.049
632.0	0.050
632.5	0.050
633.0	0.050
633.5	0.050
634.0	0.050
634.5	0.049
635.0	0.049
635.5	0.049
636.0	0.048
636.5	0.047
637.0	0.046
637.5	0.046
638.0	0.046
638.5	0.046
639.0	0.047
639.5	0.048
640.0	0.050
640.5	0.051
641.0	0.051
641.5	0.051
642.0	0.050
642.5	0.050
643.0	0.049
643.5	0.049
644.0	0.049
644.5	0.048
645.0	0.048
645.5	0.048
646.0	0.047
646.5	0.047
647.0	0.047
647.5	0.047
648.0	0.047
648.5	0.048
649.0	0.048
649.5	0.048
650.0	0.047
650.5	0.047
651.0	0.047
651.5	0.047
652.0	0.047
652.5	0.047
653.0	0.047
653.5	0.048
654.0	0.048
654.5	0.048
655.0	0.048
655.5	0.048
656.0	0.048
656.5	0.048
657.0	0.047
657.5	0.046
658.0	0.045
658.5	0.044
659.0	0.044
659.5	0.044
660.0	0.043
660.5	0.044
661.0	0.045
661.5	0.046
662.0	0.046
662.5	0.046
663.0	0.047
663.5	0.048
664.0	0.048
664.5	0.048
665.0	0.048
665.5	0.048
666.0	0.048
666.5	0.048
667.0	0.047
667.5	0.046
668.0	0.046
668.5	0.046
669.0	0.046
669.5	0.046
670.0	0.046
670.5	0.047
671.0	0.047
671.5	0.047
672.0	0.047
672.5	0.047
673.0	0.046
673.5	0.045
674.0	0.045
674.5	0.045
675.0	0.045
675.5	0.045
676.0	0.046
676.5	0.047
677.0	0.048
677.5	0.048
678.0	0.048
678.5	0.047
679.0	0.046
679.5	0.046
680.0	0.046
680.5	0.045
681.0	0.045
681.5	0.045
682.0	0.046
682.5	0.046
683.0	0.045
683.5	0.045
684.0	0.045
684.5	0.045
685.0	0.045
685.5	0.044
686.0	0.044
686.5	0.045
687.0	0.045
687.5	0.044
688.0	0.044
688.5	0.044
689.0	0.044
689.5	0.043
690.0	0.042
690.5	0.042
691.0	0.042
691.5	0.043
692.0	0.043
692.5	0.043
693.0	0.043
693.5	0.043
694.0	0.043
694.5	0.043
695.0	0.043
695.5	0.043
696.0	0.044
696.5	0.043
697.0	0.043
697.5	0.043
698.0	0.043
698.5	0.043
699.0	0.043
699.5	0.043
700.0	0.042
700.5	0.042
701.0	0.042
701.5	0.042
702.0	0.041
702.5	0.042
703.0	0.042
703.5	0.043
704.0	0.044
704.5	0.045
705.0	0.046
705.5	0.047
706.0	0.047
706.5	0.047
707.0	0.046
